typer	name	role1	role2	toc
general	General	Accountant	Business owner	Discussing financial management and tax preparation
general	General	Accountant	Business Owner	Reviewing financial records
general	General	Accountant	Client	What are your income sources?
general	General	Accountant	Client	Income related discussions
general	General	Accountant	Client	Donation related discussion
general	General	Accountant	Client	Discussions related to Tax and its filing
general	General	Accountant	Client	Discussion about loans, types of loans, which one to choose.
general	General	Actor	casting director	Auditioning for a role
general	General	Addiction Counselor	Patient	Discussing addiction and recovery support
general	General	Advocate	Client	Approaching a lawyer
general	General	Advocate	Client	Asking about the case(what happened)
general	General	Advocate	Client	How long the case last
general	General	Advocate	Client	Paperwork
general	General	Advocate	Client	Fees
general	General	Advocate	Client	Confidentiality
general	General	Airline staff	Traveler	Informing about the missed flight
general	General	Airline staff	Traveler	Inquiring about a missing baggage
general	General	Airline staff	Traveler	Complaining about a delayed flight
general	General	Airline staff	Traveler	Complaining about any bad experience you had in the flight
general	General	Airline staff	Traveler	Seeking assistance for a differently abled child
general	General	Animal Trainer	Pet owner	Discussing training techniques and behavior modification
general	General	Archaeologist	Museum Curator	Discussing a artifact collection
general	General	Archaeologist	Museum visitor	Discussing a historical excavation and its significance
general	General	Art (Music, Dance) tutor	Parent	Parent Asking about the performance of the child
general	General	Art (Music, Dance) tutor	Parent	Tutor Complaining about student's bad behaviour to parent
general	General	Art (Music, Dance) tutor	Parent	Home tutor Complaining about the environment
general	General	Art (Music, Dance) tutor	Parent	Fees
general	General	Art (Music, Dance) tutor	Student	Asking about the schedule of class
general	General	Art (Music, Dance) tutor	Student	Student Asking what to do today
general	General	Art Gallery Owner	Art Collector	Discussing art and acquisitions
general	General	Artist	Art Gallery Curator	Discussing an art exhibition and selection process
general	General	Artist	Gallery Owner	Discussing a potential art show
general	General	Astronomer	Science Enthusiast	Discussing a space-related topic
general	General	Auto rickshaw driver	passenger	Discussing the fare
general	General	Auto rickshaw driver	passenger	Discussing the location
general	General	Auto rickshaw driver	passenger	Taking a share auto
general	General	Automobile service person	Customer	Customer picking up car from general servicing
general	General	Automobile service person	Customer	Customer calls service person because car won't start
general	General	Automobile service person	Customer	Tyre change
general	General	Automobile service person	Customer	Engine trouble
general	General	Automobile service person	Customer	Fixing a scrape on the body
general	General	Baker	Customer	Ordering a cake(flavour)
general	General	Baker	Customer	For what occasion do you need the cake?
general	General	Baker	Customer	What is the desired weight of the cake?
general	General	Baker	Customer	Price of the cake
general	General	Baker	Customer	What to write on the cake?
general	General	Baker	Customer	Do you want any customizable design?
general	General	Bank officer	Customer	Customer comes in to open an account
general	General	Bank officer	Customer	Customer wants to close account
general	General	Bank officer	Customer	Customer complains about rude behaviour of employee
general	General	Bank officer	Customer	Customer complains about large number of phone calls
general	General	Bank officer	Customer	Customer asks about minor account
general	General	Banker	Customer	Discussing financial services and products
general	General	Barber	Client	Discussing a haircut and styling options
general	General	Bicycle Seller	Buyer	Availability of some bicycle
general	General	Bicycle Seller	Buyer	Looking for a bike in a specific budget
general	General	Bicycle Seller	Buyer	Searching for good options in car
general	General	Bicycle Seller	Buyer	Briefing about a car by the seller
general	General	Bicycle Seller	Buyer	Availability of service centres nearby
general	General	Booking Clerk (Railway station,Bus station)	Passenger	Booking a sleeper ticket to Chennai
general	General	Booking Clerk (Railway station,Bus station)	Passenger	Inquiring about trains to Amritsar from Delhi
general	General	Booking Clerk (Railway station,Bus station)	Passenger	Inquiring about cancellation and refund policies of AirIndia flight
general	General	Booking Clerk (Railway station,Bus station)	Passenger	Inquiring about postponing a train ticket due to personal reasons
general	General	Booking Clerk (Railway station,Bus station)	Passenger	Booking a bus ticket to Bangalore from Chennai (to and fro)
general	General	Bookshop owner	Customer	Do they have the books you want?
general	General	Bookshop owner	Customer	Discount on the books
general	General	Bookshop owner	Customer	Do they sell/buy pre–owned books?
general	General	Bookshop owner	Customer	Price for selling/buying old books
general	General	Bookshop owner	Customer	Pre–ordering a book
general	General	Cab driver	Customer	Confusion about location
general	General	Cab driver	Customer	Complaining about fare manipulation.
general	General	Cab driver	Customer	Driver Complaining about destination
general	General	Cab driver	Customer	Asking for AC
general	General	Cab driver	Customer	Complaining about reckless driving and mode of payment
general	General	Canteen owner	Customer	Complaining about the bad quality of food
general	General	Canteen owner	Customer	Inquiring about delivering of snacks for a department seminar
general	General	Canteen owner	Customer	Suggesting token system to reduce long queues
general	General	Canteen owner	Customer	Suggesting addition of a few dishes to the menu
